127.0.0.1 - - [07/Apr/2022:18:20:14 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:24:02 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:24:52 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE.jsp HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:24:52 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:24:52 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:24:52 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:24:54 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:42 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:42 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:42 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/default.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:42 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:42 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:42 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/DOT1_d.GIF HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:42 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/images/class.jpg HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:45 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:36:46 +0800] "GET /JSPTest/ HTTP/1.1" 404 712
